Scopus refine results values

"Your query : ((TITLE-ABS-KEY(blockchain) AND TITLE-ABS-KEY(drug supply) OR TITLE-ABS-KEY(drug sales)))"


Number of results : 75

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","23","2021","6","Krishnamachari, B.","2","Biochemistry, Genetics and Molecular Biology","3","Conference Paper","30","final","72","IEEE Access","4","Blockchain","62","Amity University, Noida","3","National Natural Science Foundation of China","3","India","18","Journal","34","English","72"
"Gold","15","2020","34","Mackey, T.K.","2","Business, Management and Accounting","8","Article","28","aip","3","Lecture Notes In Computer Science Including Subseries Lecture Notes In Artificial Intelligence And Lecture Notes In Bioinformatics","4","Supply Chains","29","Global Health Policy Institute","2","Government of Canada","2","United States","15","Conference Proceeding","27","French","2"
"Hybrid Gold","1","2019","23","Sahoo, M.","2","Chemistry","2","Review","6",,,"Electronics Switzerland","3","Counterfeit Drugs","18","Utkal University","2","Institute for Information and Communications Technology Promotion","2","China","10","Book Series","10","Chinese","1"
"Bronze","3","2018","10","Salah, K.","2","Computer Science","48","Conference Review","4",,,"2019 10th International Conference On Computing Communication And Networking Technologies Icccnt 2019","2","Supply Chain","16","University of Southern California","2","Ministry of Science, ICT and Future Planning","2","United Kingdom","4","Trade Journal","4",,
"Green","9","2017","2","Singhar, S.S.","2","Decision Sciences","7","Book Chapter","3",,,"International Journal Of Scientific And Technology Research","2","Crime","15","Indian Institute of Information Technology, Allahabad","2","Natural Sciences and Engineering Research Council of Canada","2","Taiwan","3",,,,
,,,,"Abbas, K.","1","Earth and Planetary Sciences","1","Note","2",,,"Lecture Notes In Networks And Systems","2","Pharmaceutical Supply Chains","14","Khalifa University of Science and Technology","2","Center of Excellence in Regulatory Science and Innovation","1","Canada","2",,,,
,,,,"Abdelgawad, A.","1","Economics, Econometrics and Finance","3","Short Survey","2",,,"Manufacturing Chemist","2","Healthcare","13","Jeju National University","2","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","1","France","2",,,,
,,,,"Abdurachman, E.","1","Energy","2",,,,,"Proceedings Icoecs 2020 2020 International Conference On Electrotechnical Complexes And Systems","2","Health Care","11","State Key Laboratory for Strength and Vibration of Mechanical Structures","1","Electronics and Telecommunications Research Institute","1","Japan","2",,,,
,,,,"Abubaker, Z.","1","Engineering","33",,,,,"Proceedings Of The 2020 IEEE Engineering International Research Conference Eircon 2020","2","Human","10","Division of Medicinal Products, Taiwan Food and Drug Administration","1","Fundação de Amparo à Pesquisa do Estado de São Paulo","1","Russian Federation","2",,,,
,,,,"Achuthan, K.","1","Environmental Science","1",,,,,"2019 11th International Conference On Communication Systems And Networks Comsnets 2019","1","Internet Of Things","10","Federal Research Institute for Health Organization and Informatics","1","Georgetown University","1","South Korea","2",,,,
